时间,昵称,内容摘要
星期日 13:05,rh,春节期间各小区的缴水工作站正常营业嘛
星期日 12:22,龙女,水费发票在哪里开？
星期日 12:21,📵,缴费
星期日 12:08,富 心 汗,你好
星期日 11:27,郁葱,交费编号怎么看
星期六 23:59,ꪶꪮꪰꪤꫀ⁵²⁰ 💕 🐾,开发票
星期六 23:51,小朋友💕监护人ヾ,新疆米东区水费，能不能在网上交？
星期六 22:26,这个男人不太冷,现在能交水费吗？
星期六 22:07,庞立春,，
星期六 21:49,A꧁捂耳听风꧂,水压小
星期六 20:29,buhalqam🌺 🌺,
星期六 17:22,.,你好
星期六 14:55,我想静静,宁波水表如何激活
星期六 10:59,潇洒姐,你好，我家停水了，我咋样充费？
星期六 09:28,蓉,
星期五 23:36,蓝天白云,停水
星期五 20:35,sal-ty,怎么交不了水费
星期五 19:04,冰,费用
星期五 19:02,旺旺小福星🌟,人工服务
星期五 18:27,Alfrea,在网上买的水费怎么不扣钱了
星期五 14:31,春夏秋冬,怎么查看发票
星期五 13:26,小伙子¥,五建家属院13号楼1单元403停水了。
星期五 10:45,艾师傅,怎么交费交不上
星期五 10:45,艾师傅,你好
星期五 02:30,良英,11
星期四 23:23,sumax,怎么开通水
星期四 22:28,玉 🖤,你好
星期四 15:07,rangdar bulak （彩泉),怎么查询水表用户号
星期四 13:32,guli,1
星期四 08:04,三月三,6502388493418
星期三 20:14,上善若水,2302019427
星期三 18:16,℘⸙二五一一九℘⸙,查询户号
星期三 17:02,Aurora,卡丢了
星期三 16:19,图尔孙古丽,。
星期三 15:03,Zilalaa.,缴了100元水费，查不出余额
星期三 11:53,@爱己@,好
2-17 23:26,sadayti.,充值错误
2-17 18:22,李开胜,没有水
2-17 17:41,★SER☆〽,哈喽
2-17 17:06,人生如梦,1
2-17 11:35,🏫ARZUYUM🏫,怎么交费交不上
2-16 23:56,张玉林,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-17 11:35,🏫ARZUYUM🏫,账单
2-16 23:56,张玉林,这个表坏了怎么计费
2-16 19:11,海阔天空,我家的水停了 怎么回事儿
2-16 18:22,silimam,乌市家庭水费能自己网上缴费吗？
2-16 14:34,专业母婴护理师贺菊芬15276633075,业务办理
2-16 13:22,艾比布拉,水费
2-16 13:13,陈兰,交水费的发票怎么开？
2-16 10:37,开SA尔,ت
2-16 08:46,崔跃镡,水费
2-16 07:20,春夏秋冬,开发票
2-15 23:34,薰衣草,到现在也没有进我的冲直账户
2-15 22:50,幸福家庭,如何查询用户号
2-15 22:10,红魔,表卡编号是嘛
2-15 20:37,阿布力孜17354877440,发票
2-15 20:09,超超,查户号
2-15 20:03,马宏伟,开发票
2-15 19:30,大四川,查水费
2-15 19:22,果然,1
2-15 19:13,守朢じ☆ve緈諨,怎么交费交不上
2-15 17:14,He Is*,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-15 19:13,守朢じ☆ve緈諨,查询户号
2-15 17:14,He Is*,碗饮料瓜子羊肉
2-15 17:05,Overmaster,电子发票
2-15 16:10,水冰月pink,缴费
2-15 13:40,楊,开发票
2-15 12:09,佛缘,开的发票在哪下载
2-15 11:38,以為,发票
2-15 11:21,疯土,在哪儿装
2-15 10:48,yy,友好路新村路听水呀？
2-15 10:31,A心境,水表为啥隔几天会响一次？
2-15 08:33,Waᴗangᥫᩣ,友好物业小区新村东社区5号楼5楼怎么没水呀
2-15 00:15,亲,1月份水费12，75元
2-14 23:39,་,水费多少钱一方
2-14 22:40,M...@9-5,人工客服
2-14 20:36,🧬艾则孜🧬,水费怎么交啊
2-14 20:35,欢欢,咋样查水表过户上了没有
2-14 20:32,野百合也有春天^*^,上面说的是限制到15号交水费，我的按交水费为什么是零？
2-14 19:29,顺其自然,请你们不要坑老百姓。
2-14 19:13,有李说不清,你好
2-14 17:15,Eksan钢,怎么交费交不上
2-14 17:10,英子,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-14 17:15,Eksan钢,怎么合并开票
2-14 17:10,英子,你好现在不推送水费多少钱了，我在哪里缴费呀
2-14 16:51,奶油童锣烧,去支付水费为什么交不了呢
2-14 15:39,代建新,我的水费账单还没出来怎么回事
2-14 14:52,逐.光,...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
2-14 14:36,秀秀,怎么停水了
2-14 14:34,余生🎊随心Rayila,怎么查余额
2-14 14:07,zokra,水区王家梁缴费在哪里
2-14 13:52,Whistle🏀,
2-14 13:51,王瑶*,水费发票
2-14 13:44,文西平,投诉你们
2-14 13:43,LaZiNa. KaHaR 🍀美妆,业务办理
2-14 13:27,勤子,发票
2-14 13:04,姬如雪,水表灯为什么闪烁呢？
2-14 13:01,ayixa🕊,1
2-14 12:32,城门楼子,怎么缴费不了
2-14 12:32,ls,怎么交费交不上
2-14 12:32,呜咪,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-14 12:32,ls,卡表编号怎么查询
2-14 12:32,呜咪,怎么过户
2-14 12:17,Yaᴗngᥫᩣ,你好
2-14 11:34,黄江祖,我的发票
2-14 11:10,暖陽輕語,停水通知
2-14 10:06,雨蝶,线上缴纳税费
2-14 09:29,eziz yasin,更改用户名
2-14 09:28,晴空,1
2-14 08:15,地里夏提。努尔,家房子现在没人住，等到20天以后有人住了就交水费了啊
2-14 00:44,原野,怎么查用户编号
2-14 00:10,探索,水卡丢了  这么查找水卡上面的号码
2-13 23:21,PH,水卡号查询
2-13 22:57,ManZiL,网上可以付款吗
2-13 22:27,帕尔哈提·15099556549,1
2-13 22:25,养乐多,، 
2-13 21:58,Meet.,你好
2-13 21:40,克依木-羊佳牛农牧,？
2-13 19:04,能屈能伸(装饰装修水，电，暖，）,请问一下：水费单不是2个月一出吗？上次是11月出的，应该1月就出来了，可是现在都2月中旬也不见我的水费单出来，怎么回事
2-13 18:27,王玲,账户余额有180元，为什么不自动扣款，还要停水
2-13 17:53,山清清,怎么交费交不上
2-13 17:27,紫茉莉,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-13 17:53,山清清,查看现在还剩多少钱
2-13 17:27,紫茉莉,为什么要停水
2-13 17:27,*川鑫园家庭厨房19990813807蒋世明,，
2-13 15:58,ƘƛƧƖM,为什么显示无账单？
2-13 15:00,🍓 M,发票
2-13 13:54,EstEdAt 电子服务中心📲,小程序已经缴费了
2-13 13:51,南方之木，故字从南,1
2-13 13:36,yaprak,无法支付款项
2-13 13:28,EVILDOER·,户号：: 3009866402 地址：: 新市区民航机场机场南区93号楼3-401。
2-13 10:19,🐼Galaxy🦄,你好
2-13 09:50,雅雪,水费有异议，请复查。
2-12 22:20,Breeze｜氛围感,我们这个水费一直不发送过来
2-12 21:27,阿卜杜凯尤木江,查询我的水费
2-12 20:49,企业形象，平面设计，Logo设计等,家里停水了
2-12 19:39,ᴀʙᴅᴜʟʟᴀ,怎样查水表余额？
2-12 16:31,瑷,1
2-12 16:21,祁婧华,3007325401
2-12 14:04,诚心温暖,怎么交费交不上
2-12 13:50,缘梦,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-12 14:04,诚心温暖,远程
2-12 13:50,缘梦,1
2-12 13:01,姜荣英,又预付二十元
2-12 12:10,姗姗,水费账单
2-12 10:16,丁斌,为什么所有客服电话打了一天都没人接
2-12 08:21,umutwar,如何缴费
2-11 23:27,🥰,停水
2-11 23:11,排祖拉 13999048444,客服电话号码
2-11 23:09,曹冲,问一下，9月以后为什么没有账单
2-11 23:01,云天化妆.造型,我的账号多少  
2-11 22:33,永不言弃💞💞💞,这个卡怎么绑定
2-11 22:04,詞,人工客服
2-11 21:51,亮,水卡编号8个怎么弄
2-11 21:25,双喜,怎样给别的房子交水费？
2-11 21:19,赛麦提,
2-11 20:16,党美琪,绑定不了怎么办
2-11 19:11,w,怎么查自己家水费账户
2-11 17:51,范,交不了费
2-11 17:09,亦恒,怎么绑定的
2-11 13:54,༺木易༻,怎么交费交不上
2-11 13:18,燮域,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-11 13:54,༺木易༻,已缴费到2月
2-11 13:18,燮域,交了水费，不来水是为什么？
2-11 13:04,波波,怎么登录
2-11 13:00,L.,帮我查询余额
2-11 12:44,花开花落,水价
2-11 11:21,最懂的人，最暖的伴,转人工客服
2-11 10:20,『0. 2℃』,没有记录
2-11 09:50,娜娜🍀,1
2-11 09:44,韩东,瑞祥花园21栋一单元501，两块表的水费情况
2-11 03:37,evina,多少钱一方水
2-10 23:38,沁水百合,你好，有人在吗？
2-10 23:22,ALLABARDi. 13579939380,你好！每次都是单月出水费账单，为什么都2月份了还没有出账呢
2-10 21:19,ar zi gul 🖤🎶🎶,我有余额的呀，
2-10 21:17,贝名17690864446,招聘
2-10 20:37,ོ小ོ馒ོ头ོ,0001853101
2-10 19:53,A杨亚威,水表无法充值
2-10 19:33,何亚欣,一立方水价格
2-10 18:09,朵拉,
2-10 13:58,💚Aym@lik@m💚,3004571606
2-10 13:51,刘永红,怎么交费交不上
2-10 13:13,沈,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-10 13:51,刘永红,充钱了怎么没来水
2-10 13:13,沈,1
2-10 13:05,老外。,怎么绑定
2-10 12:41,ᝰꪶಇꫀ⁴,有没有电话
2-10 12:18,王惠海,换新的水表如何绑定微信缴费
2-10 11:29,云鹤间,户号查询
2-10 10:45,悠闲时光,用户号查询
2-10 10:01,蓝光,异常
2-10 09:39,ღ᭄º阿玟᭄এ,1
2-10 08:08,王兴江,黄河商场后巷属于哪里缴费
2-10 01:36,iu19o0sT,水利集团中午休息吗？
2-10 00:47,买合木提,新 A1LU59
2-10 00:07,👣,客服电话也打不进去
2-9 23:38,ღ ,业务办理
2-9 20:30,奔跑的蜗牛,缴费户号
2-9 18:49,东方雨,1. 各位长辈、家人们，新年好！今天咱们全家团圆，热热闹闹过马年，我特别开心！这杯酒敬大家，祝咱们全家在2026年：和和美美，团团圆圆；长辈们身体健康，平辈们事业有成，晚辈们茁壮成长！马年行大运，万事皆顺意，干杯！
2-9 18:46,留白.,你好
2-9 18:41,1~伊拉,查询
2-9 18:20,🇨🇳,招聘
2-9 18:05,买买提·艾比布,怎么交费交不上
2-9 17:40,ЙRÝ,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-9 18:05,买买提·艾比布,没有水，水阀不起作用
2-9 17:40,ЙRÝ,如何查询水表号
2-9 16:18,。,941
2-9 15:40,晓琴,账单
2-9 15:39,小王不开心（ipeng版）,我们家的水表坏了你们有没有维修人员
2-9 15:33,樂果,水表故障停水了
2-9 14:42,βμαη,怎么查表卡编号
2-9 14:35,梁润涛 18195993764,客服电话
2-9 13:36,港岛日记,
2-9 13:33,·,户号查询
2-9 13:00,༽ Адронлин་ ོ,这个月用水最少， 还比之前每个月收费都高，你们不是胡求整吗
2-9 11:06,。,未到账怎么回事
2-9 11:03,Lniie.,，
2-9 10:57,阳ღ,户号查询
2-9 10:35,少秋哥,客服电话
2-9 10:25,kudrat,你好
2-9 09:48,蓝梅,如何缴费
2-9 09:32,诗雨,为什么开不了发票？
2-8 18:38,Sainbayar,人工客服
2-8 16:09,mire🦋,=月七日交费
2-8 15:31,哈丽旦木,怎么交费交不上
2-8 14:57,茹意,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-8 15:31,哈丽旦木,我这次的水费异常，是啥原因呢？迎宾花园A1区
2-8 14:57,茹意,1
2-8 13:27,努热曼古丽,我
2-8 13:01,Hurxᦸꪟꪳidaꦿ࿐🌻,缴费
2-8 11:28,Hui.,帮我查一下户号
2-8 10:33,吐尔洪。巴拉提,人工有么
2-8 00:35,星海阳光,你好这个房子现在没人住，从11月份就没人住没用水。
2-7 23:20,珏珏,充值多长时间能到账
2-7 19:50,H.L 🐉,交费后为什么不到账
2-7 19:32,平淡如水,查询水表号
2-7 18:20,刘淑云D,你好
2-7 17:53,小曼~,1
2-7 17:46,他,这才2月6号。就要缴2月份的水费了，怎么计算出来的
2-7 13:20,00,水费充值金额
2-7 13:05,一切安好,请问充值200元，显示充值200元未到账是什么意思？
2-7 12:30,Julizhong,进入缴费界面怎么不显示缴费金额？
2-7 12:20,新车销售,余额
2-7 09:07,德州,开发票为什么不可以开电子发票
2-7 09:01,夏天,米东区梧桐山畔小区能不能绑定
2-7 07:04,天之蓝,缴费
2-7 01:59,🐳,怎么交费交不上
2-7 01:20,昭阳,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-7 01:59,🐳,奇台路407号号路2单元301房子水表号不知道加不了钱
2-7 01:20,昭阳,
2-6 23:16,Uiea-,每月什么时候交水费
2-6 23:02,张逸萱,御澜湾有停水公告吗
2-6 22:40,RISALAT,天山区建设巷109号402室，水表号是多少
2-6 22:18,田振军,访客1770353476986
2-6 22:14,ℳ梁💞梁᭄໑ຼₒ₂⁶ ঞৣ,达坂城区
2-6 21:55,小、泽,
2-6 21:42,👤,，，，
2-6 20:55,随缘,不知道水卡号多少，也不知道用户名是啥
2-6 18:39,张华19999558080,为什么我绑定不了用户
2-6 18:30,🦄,怎么交不了水费了
2-6 18:29,老侃,你好
2-6 18:13,肉苏里,电子票查询
2-6 16:52,麦合木提·亚森,你好
2-6 16:52,Her Majesty the Queen,公众号如何交水费
2-6 16:46,ㅤㅤㅤㅤ,换水卡需要带什么证件
2-6 16:12,A：新疆素颜墙布艺术漆灬田元杰℡,怎么交费交不上
2-6 15:51,🤔帅哥😘,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-6 16:12,A：新疆素颜墙布艺术漆灬田元杰℡,2023090433
2-6 15:51,🤔帅哥😘,水费费怎么查询
2-6 15:05,库尔班江، 13179918044,电表有问题
2-6 14:53,厌我...请离,1
2-6 14:41,Himeko,家里没水 也没欠费 是怎么回事？
2-6 14:34,静··🧿,你好
2-6 14:23,安然自若,电话
2-6 12:51,💢BEST BOY💢,客服电话
2-6 08:49,XYD.,
2-6 00:02,努尔古丽买买提,水价
2-5 22:25,亚西兰服饰18119114070,水多少钱一方
2-5 21:39,꧁༺紫宸༻꧂,1
2-5 21:11,、青衣,停水
2-5 20:26,乔乔,天山区新华南路汇合物业小区停水了嘛
2-5 18:17,吾布力·先生,1
2-5 18:10,思念,缴费
2-5 17:31,依依,户号查询
2-5 17:08,灯#火,商业水价文件
2-5 16:36,石,我是新买房的 这表卡号我不知道
2-5 13:17,袁学旺,怎么交费交不上
2-5 13:02,Aisa,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-5 13:17,袁学旺,充值多久到账
2-5 13:02,Aisa,我在小区物业代收点缴费，工作人员说没有发票，收据也没有，我想咨询一下我怎么知道购买了多少，购买成功了没有，并且付款二维码是个人收款码，心里有点不踏实，请问这个是不是正常的
2-5 11:57,angerr_,客服电话
2-5 11:44,古丽,我充值了为什么没到账
2-5 11:37,三坪 书明视光中心,联系方式
2-5 10:29,你知我几分,如何关水表
2-5 10:19,曹蒙蒙,
2-5 09:54,Ayxam😘,怎么看每月用水量
2-5 03:23,소과전,怎么交不了水费了
2-5 01:10,PAHERDIN .,你好
2-4 23:27,快乐每天,你好
2-4 21:06,🍓Dreamer🍓,1
2-4 16:33,筱贝,1
2-4 13:42,我乐意.,亲：发现米东区发的用户绑定和这里的要求不一样
2-4 13:03,Rio,为啥绑不了帐号
2-4 11:53,没有人的世界,缴费记录
2-4 11:35,HuMa-,二次供水加价
2-4 11:19,二十四,
2-4 11:16,大白兔奶糖,怎么交费交不上
2-4 11:09,.,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-4 11:16,大白兔奶糖,更改名字需要什么
2-4 11:09,.,1
2-4 10:07,ゼ[ 夏槿凉安 ]ジが,水费交了 还是没有水
2-4 09:30,阿布,。
2-4 08:51,许舒涵,为什么在线交不了费？账户显示应交费用为零。
2-4 00:07,KANGKAI,水投
2-3 22:57,Кадйрдин🕊,还有多少钱
2-3 22:21,蒋13899838536,如何查询水表卡号
2-3 20:59,Gulum🌸,水务公司在哪个位置
2-3 19:37,新疆地毯源头厂家,缴费时间就在工作日内呀
2-3 19:35,esil yaxa,哦哦
2-3 19:16,邱阳,更换水表名
2-3 19:11,malika🧿2076,
2-3 18:19,诚信,我往水里投币怎么没进水这是怎么回事？ 
2-3 18:16,买买提依明.努来克,怎么查询我明下的水表号
2-3 18:14,Cx330°💫,·
2-3 17:20,🌹💚M💙🌹No Excuses!,1
2-3 15:46,一切随缘👈,我卡的没有表卡编号怎么绑定
2-3 15:43,人家在前进,缴费
2-3 15:40,路漫漫,投诉
2-3 15:20,鑫居张艳纲13609901812,怎么交费交不上
2-3 15:08,佳悦张18195812322,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-3 15:20,鑫居张艳纲13609901812,充值未到账，啥时候到
2-3 15:08,佳悦张18195812322,水费怎么缴纳
2-3 12:53,许先生,我想要交费，我怎么办？
2-3 12:06,贾丽蓉13565444191小贾通讯,水费怎么交不了
2-3 11:15,兵团乳业,以前有收费提醒，现在没了，要收滞纳金，感觉不合理，用水交费没问题，既然有这个公众号了，设个提醒应该不难吧！不知情的情况下收滞纳金不合理！
2-3 08:31,ㅤ,停水了吗
2-3 01:26,何晓兰,12月-1月费用已交。
2-2 20:23,阿依夏木,你好
2-2 19:30,湛蓝,
2-2 16:18,🐮 不🐮,我知道我家里停水了。
2-2 14:20,🍒,户号怎么查
2-2 13:52,安sir,如何缴利用服务号纳水费
2-2 13:44,美德隆便利店3383829--18699135220,停水了充值完了怎么不来水
2-2 13:14,🌻安静,停水了
2-2 12:56,强子,这水平
2-2 10:39,ღ,充值了钱没到账咋回事
2-2 09:44,风铃,水
2-2 09:25,👤RR👤,停水了
2-2 00:21,没💖没肺活着不累🎵,找不到卡号
2-1 22:50,阿布力克木,你好，
2-1 22:23,珊瑚,怎么交费交不上
2-1 20:53,🧿艾提汗🧿白马6-10,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
2-1 22:23,珊瑚,
2-1 20:53,🧿艾提汗🧿白马6-10,人工
2-1 19:38,💖Rayhan.热依汉💖,人力服务
2-1 16:26,泛泛,
2-1 15:30,梁,交水费怎么交
2-1 14:47,·,缴费了又停水
2-1 13:53,勇敢,为什么绑定不了
2-1 13:39,百纳,1
2-1 11:48,MG42,怎么叫水费
2-1 11:25,紫龙,请回电13999941451，赵女士
2-1 10:54,下雪的北方,编号怎么查
2-1 10:34,笑笑😉,中水
2-1 10:22,顺利,你好新疆乌鲁木齐天山区团结路瓷厂小区13号楼二单元怎么没水呀？
2-1 07:49,💞爱自己 😘,留言也留不上！
2-1 07:47,和好_,停水怎么没有通知
2-1 02:44,北方,现在民用水费多少钱一方？
1-31 22:19,～～,专票在哪里下载
1-31 21:58,听茶,
1-31 21:46,中国,人工服务
1-31 20:53,陈奇峰,你好 厨房没水 表也没反应怎么办
1-31 20:53,阿迪力,客服电话
1-31 20:35,艾军,水费账单
1-31 19:49,雾散,远程开阀
1-31 19:47,秦老师（13139712239）,春光小区十一号楼二单元602
1-31 18:47,A_灵宝（九喜商店）,水费
1-31 18:21,苏总,
1-31 13:55,🌹依🌹明 🌹江,3011567601
1-31 13:04,时光带走了我的诺言,乌鲁木齐家庭用水 多少钱一立方米？
1-31 09:25,刚刚,停水通知？
1-31 08:16,七秒鱼,سۈ. پۈل. تۈلەيدىغان.  
1-31 00:33,马淑婧🍃,这个月的水费账单为什么没出来
1-31 00:26,快乐每一天,好
1-31 00:03,鈮贝,你好
1-30 21:58,[福]谢先生[福],我充了40块钱的水，一直显示未到账，啥意思？
1-30 20:00,憶,充钱了但是还没来水 是怎么回事去
1-30 18:31,吃西红柿炒蛋吗？,刚把水费交上，还是没有水请问怎么开通
1-30 17:28,时光一刻,客服电话
1-30 16:36,勇往直前（刘勇）,？
1-30 16:33,贤妻良母,怎么交费交不上
1-30 13:32,幸福🥰快乐,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
1-30 16:33,贤妻良母,只知道地址可以吗？
1-30 13:32,幸福🥰快乐,为什么看不到余额了？
1-30 13:23,开心,为什么充值100元余额显示0元
1-30 12:31,小朋友,怎么没有内容呢
1-30 11:41,🌹RAYLA🌹,24小时客服
1-30 11:35,jy,
1-30 10:38,一颗桃子🐾,水费
1-30 10:37,远方的闪光,1
1-30 07:18,翻飞,su
1-30 00:05,杨希特,充值费完了以后插卡就显示就这样
1-29 23:01,买买提18160662248,绑定不了怎么办
1-29 19:35,自覺矜貴,
1-29 19:04,مۇنىرە توپ,
1-29 18:06,荷荷甜,我还需要充值吗？
1-29 16:44,¹⁹⁹⁶ ₀₂.₀₁,发票怎么取
1-29 15:39,🇨🇳无上正等正觉,公司电话多少
1-29 14:32,照顾好你的猫,我交的水费手机怎么看不见
1-29 13:31,GuLuM,我家停水了，地址乌市水区温泉东路和亦社区五巷五号，钱已交，
1-29 12:41,何建平,
1-29 12:39,枫叶🍁,如何过户
1-29 12:23,热孜万古丽,交水费
1-29 12:20,纳阿舌,待签用户什么意思
1-29 12:19,美式小前锋,123
1-29 11:32,范,0000063602
1-29 11:09,孙林²⁰²⁶₆₆₆₈₈₈,水费单价
1-29 10:05,长生,怎么开发票
1-29 00:59,a.树懒的懒.『公积金提取』,我家忽然停水了
1-28 23:57,小柯王,1
1-28 22:59,曾曾,一月份的水费账单什么时候出来？
1-28 22:22,海纳百川,怎么查水费
1-28 22:13,风铃,表卡名称
1-28 22:10,MH.,表换了电池，还是同样的没水 
1-28 21:51,"ᴍʀ,ᴀᴢᴇᴇᴢ ོ",你好
1-28 21:40,贝壳选房师小叶17690797482,开启缴费提醒
1-28 21:11,胜利122,警馨花园停水通知
1-28 20:25,M,-
1-28 19:13,@Dilnur🖤,你好，房子没水了去哪里买？
1-28 17:13,Erpan,怎么交费交不上
1-28 16:41,306 许诺,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
1-28 17:13,Erpan,一方水单价
1-28 16:41,306 许诺,怎么联系客服呢
1-28 16:18,肖国民,。
1-28 15:55,白鸽,你好吗
1-28 15:50,火辣辣大吗喽,我这个月的水费账单还没出吗？
1-28 13:29,ʕ ᵔᴥᵔ ʔ,
1-28 13:22,快乐阳光,我家要改水，麻烦你们关下水
1-28 13:22,加油🇨🇳 我的国！,电话
1-28 13:19,阿依努尔💎,您好，我是四川美天拼科技公司的AI销售策略专家，请问我能怎样帮助到您呢？
1-28 13:06,㰎,水卡可以补吗
1-28 12:39,刘美京,我昨天缴费了的到现在还没来水
1-28 12:16,💭,交完水费怎么没水？
1-28 11:54,柯荣,晋达花园停水
1-28 11:44,闲隅杂记,怎么交费交不上
1-28 10:49,新化红茶,"市民可通过水业集团公众号->企业服务->在线客服反馈全市涉水类问题。
回复时间：工作日10：00—18：00（北京时间）
其他时间的留言将在下一个工作日进行回复"
